batch_size,num_classes,epochs,data_augmentation,num_predictions,model_name,steps_per_epoch,featurewise_center,samplewise_center,featurewise_std_normalization,samplewise_std_normalization,zca_whitening,rotation_range,width_shift_range,height_shift_range,horizontal_flip,vertical_flip
32,10,90,TRUE,20,keras_cifar10_trained_model1.h5,350,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.1,0.1,TRUE,FALSE
32,10,82,TRUE,20,keras_cifar10_trained_model2.h5,350,FALSE,FALSE,FALSE,TRUE,FALSE,0,0.1,0.1,FALSE,TRUE
32,10,100,TRUE,20,keras_cifar10_trained_model3.h5,350,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.1,0.1,TRUE,FALSE
32,10,60,TRUE,20,keras_cifar10_trained_model5.h5,350,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.1,0.1,FALSE,TRUE
